ONS_ID,food_fastfood_num_region,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins
0,1549,1.522,1.265,0.812
3001,14,44.444,1.579,0.616
3002,20,3.348,0.866,0.798
3003,32,2.72,0.536,1
3004,25,3.486,0.568,1
3005,1,0.15,1.107,0.991
3006,0,NA,NA,NA
3007,15,2.874,0.777,0.939
3008,8,2.079,0.744,0.94
3009,26,6.101,0.504,1
3010,5,0.606,0.774,0.939
3011,6,0.767,0.85,0.977
3012,7,1.17,0.779,0.984
3013,4,0.55,0.746,0.984
3014,3,0.271,1.337,0.808
3015,17,2.1,0.426,1
3016,22,1.417,0.875,0.945
3017,7,0.615,0.985,0.919
3018,8,1.091,0.528,1
3019,30,3000,NA,NA
3020,18,1.43,0.612,0.995
3021,4,1.247,4.143,0.243
3022,19,2.069,0.594,1
3023,5,1.728,0.732,1
3024,204,6.648,0.228,1
3025,10,1.188,1.101,0.845
3026,13,1.317,2.383,0.38
3027,5,0.497,0.8,0.946
3028,34,6.622,0.573,1
3029,5,0.868,0.539,1
3030,27,1550,NA,NA
3031,2,0.873,2.144,0.491
3032,12,1.49,0.715,1
3033,0,0,9.016,0.011
3034,1,0.342,0.971,0.903
3035,17,2.769,0.928,1
3036,0,0,1.745,0.126
3037,1,0.217,3.047,0.109
3038,0,0,7.036,0.041
3039,2,0.656,5.596,0.092
3040,10,1.471,0.694,0.972
3041,10,2.414,0.748,0.96
3042,0,300,NA,NA
3043,14,1.11,0.968,0.867
3044,9,0.7,1.199,0.719
3045,23,5.954,0.72,1
3046,1,0.255,7.521,0.23
3047,22,1.622,0.415,1
3048,31,2.871,0.842,0.925
3049,2,0.189,5.014,0.151
3050,9,7.725,0.815,0.844
3051,4,37.5,2.655,0
3052,2,0.324,0.811,1
3053,2,0.539,0.743,1
3054,5,1.618,0.569,1
3055,29,2.918,0.263,1
3056,3,0.353,0.942,0.994
3057,14,380,NA,NA
3058,17,2.884,0.521,1
3059,15,3.097,0.51,1
3060,31,1.554,1.182,0.683
3061,15,1.748,0.876,0.99
3062,0,0,10.476,0
3063,27,3.24,0.558,1
3064,1,9.091,NA,NA
3065,19,1.566,0.549,1
3066,0,0,0.967,1
3067,3,1.743,0.345,1
3068,45,10.269,0.214,1
3069,8,1.241,0.515,1
3070,10,0.957,2.841,0.259
3071,0,0,9.22,0
3072,1,0.33,1.309,0.692
3073,3,0.519,5.043,0.238
3074,8,1.161,1.969,0.497
3075,0,0,10.519,0.001
3076,1,0.327,7.077,0.215
3077,7,1.959,0.442,1
3078,3,0.609,3.966,0.13
3079,20,0.83,0.71,1
3080,18,0.851,0.975,0.8
3081,11,0.661,0.864,0.964
3082,7,0.82,0.472,1
3083,11,1.698,0.479,1
3084,1,40,NA,NA
3085,17,2.122,0.621,0.989
3086,4,0.7,3.959,0.43
3087,56,2.742,0.508,1
3088,1,0.169,0.859,1
3089,6,1.439,0.65,1
3090,0,0.328,1.126,0.719
3091,28,0.934,1.367,0.552
3092,3,0.671,0.72,1
3093,1,0.949,0.724,1
3094,2,0.441,1.393,0.756
3095,21,2.338,0.81,0.977
3097,4,0.275,1.044,0.794
3098,1,0.213,1.605,0.562
3099,0,0,1.711,0.278
3100,7,0.366,1.32,0.746
3101,26,2.083,0.802,0.932
3102,0,0,0.959,0.892
3103,6,0.911,0.874,0.81
3104,79,6.431,0.346,1
3105,15,6.115,0.536,1
3106,19,0.901,1.115,0.681
3107,8,1.617,1.403,0.426
3108,24,1.867,1.099,0.836
3109,24,0.935,2.579,0.151
3110,4,0.852,1.139,0.65
3111,13,2.287,0.415,1
3112,14,3.003,0.304,1
3113,1,0.356,5.642,0.272
3114,3,1.828,0.713,1
3115,34,3.973,0.235,1
3116,18,1.792,0.507,1
3117,9,0.787,0.772,0.964
